postal_code,walk_score,bike_score,transit_score
T3G 2W7,18,53,37
T3M 1E8,20,65,36
T2E 0J9,69,98,63
T2Z 0T9,34,71,43
T2Y 3E7,15,63,37
T2X 3K8,22,63,30
T3A 1K5,67,83,63
T2A 7X8,38,59,49
T2T 5B7,28,71,45
T3G 2R9,22,54,40
T2R 1S5,91,97,70
T3K 2M6,53,69,51
T2Z 2M8,42,70,44
T3E 4V4,48,61,48
T3C 3N7,89,94,63
T2Z 2J2,15,61,38
T3C 1P7,60,92,45
T3G 6B4,47,71,36
T2R 1E3,89,96,72
T3E 8A5,51,60,N/A
T2G 0C7,82,90,75
T2T 3G1,86,80,51
T3M 1R5,8,55,34
T2V 3H6,41,66,46
T2J 0Y7,40,65,39
T3N 1S1,0,26,18
T2Z 3S3,51,78,46
T3A 0M6,60,84,55
T3C 1Y4,38,84,42
T3H 4M2,6,68,38
T3K 4L6,26,58,38
T3B 2H5,43,74,40
T2E 9B3,52,76,50
T3J 0Z6,33,67,59
T2Z 0H8,10,59,32
T3H 0V2,13,38,34
T3G 0E6,52,72,36
T2S 1P4,74,97,59
T3G 2W3,18,49,35
T3B 2X4,43,84,58
T2G 5T7,87,94,74
T3R 1P3,20,55,38
T2K 5W9,58,79,51
T3E 3W5,35,83,40
T2P 5K4,82,90,76
T3C 3X6,18,51,51
T2S 3C9,54,86,58
T2X 3X5,47,68,32
T3J 0V7,33,67,59
T3P 0B8,36,58,35
T3B 5E6,29,68,38
T3H 1E4,40,74,37
T3M 0J7,6,34,34
T2E 9C7,72,99,57
T3J 3G6,40,65,57
T3H 5V7,42,65,55
T2X 3Z5,6,41,N/A
T2S 1B6,61,89,52
T2S 2B5,88,91,53
T3B 0S4,62,91,44
T2R 1R5,96,97,72
T2Z 0R3,9,54,28
T3A 0T5,50,86,54
T2R 0B5,93,94,76
T2E 3W5,79,82,60
T3K 4K3,8,46,31
T3J 5B4,37,71,58
T2S 3H6,46,76,41
T2Z 2B2,18,69,37
T3L 2B9,36,62,49
T3H 5X5,10,56,24
T2P 0X2,82,90,76
T2B 0P9,59,90,47
T3M 1M8,8,55,34
T3P 0V8,0,26,0
T3K 5B3,25,62,35
T3P 0N3,6,53,31
T3A 1T6,28,67,42
T3L 1X9,11,65,47
T3C 1X9,62,84,55
T3G 5K6,27,41,52
T3M 2L8,8,55,34
T3E 5X9,15,69,45
T2X 3S5,33,65,32
T3M 1L1,42,68,41
T2M 0N4,64,92,57
T2M 1B6,79,99,60
T3P 0L6,0,30,0
T2X 0N2,33,64,32
T3K 0V9,53,60,38
T1Y 6T4,28,64,38
T3E 2K4,63,86,56
T2Z 0T7,64,85,47
T2Z 1G6,11,66,29
T2A 4H9,43,68,43
T2E 2E2,59,81,52
T3H 0J3,28,70,32
