price,address,postal_code,bedrooms,bath,property_type
216000,407 - 3000 SOMERVALE CRT SW,T2Y 4J2,2 bed,2 bath,condo
729900,31 ELGIN MEADOWS RD SE,T2Z 0S1,4 bed,3 + 1 bath,house
645900,16 Norford Common NW,T3G 6G6,2 bed,2 + 1 bath,townhouse
689900,138 ELGIN ESTATES HILL SE,T2Z 4Z5,4 bed,3 bath,house
699900,740 LAKE ONTARIO DR SE,T2J 3J8,4 bed,2 + 1 bath,house
674900,2638 36 ST SW,T3E 2Z8,4 bed,3 + 1 bath,house
925000,39 WESTPOINT PL SW,T3H 5W5,5 bed,3 + 1 bath,house
266745,213 - 100 AUBURN MEADOWS MANOR SE,T3M 2S6,2 bed,2 bath,condo
225000,3031 33A ST SE,T2B 0W3,2 bed,1 bath,house
764999,240 18 AVE NE,T2E 1N2,4 bed,3 + 1 bath,house
510500,37 RED EMBERS ROW NE,T3N 0R3,5 bed,4 + 1 bath,house
775000,8 EVERGREEN ROW SW,T2Y 5B1,4 bed,3 + 1 bath,house
184900,1008 - 11811 LAKE FRASER DR SE,T2J 7J1,1 bed,1 bath,condo
270000,39 TEMPLEMONT DR NE,T1Y 4Z5,3 bed,1 + 2 bath,house
341000,4655 WHITEHORN DR NE,T1Y 1X2,3 bed,1 + 1 bath,house
588000,188 CHAPARRAL CRES SE,T2X 3K8,5 bed,3 + 1 bath,house
279900,210 15 Avenue SE,T2G 0B5,1 bed,1 bath,condo
218000,7 - 11407 BRANIFF RD SW,T2W 1C5,4 bed,1 + 2 bath,townhouse
135000,206 - 1712 38 ST SE,T2A 1H1,2 bed,1 bath,condo
439900,185 CRANBROOK Villas SE,T3M 1Z3,2 bed,2 bath,townhouse
1298200,93 ELKTON WAY SW,T3H 4Y9,6 bed,4 + 1 bath,house
1175000,24 NEW ST SE,T2G 3X9,3 bed,3 + 1 bath,house
244900,606 - 250 SAGE VALLEY RD NW,T3R 0R6,3 bed,2 bath,townhouse
309900,1836 43 ST SE,T2B 1G9,3 bed,2 bath,house
1725000,179 CEDARBROOK WAY SW,T2W 3Z7,N/A bed,N/A bath,house
